name,gb,gddr,price,link
Asus TUF Gaming GeForce RTX 3080 V2 OC Edition LHR 10GB GDDR6X,10,GDDR6X,1181.35,https://www.pccomponentes.com/asus-tuf-gaming-geforce-rtx-3080-v2-oc-edition-lhr-10gb-gddr6x
Gigabyte GeForce RTX 3060 Ti EAGLE OC 8GB GDDR6 Rev 2.0,8,GDDR6,599.95,https://www.pccomponentes.com/gigabyte-geforce-rtx-3060-ti-eagle-oc-8gb-gddr6-rev-20
Asus ROG Strix GeForce RTX 3060 V2 OC Edition 12GB GDDR6,12,GDDR6,599.91,https://www.pccomponentes.com/asus-rog-strix-geforce-rtx-3060-v2-oc-edition-12gb-gddr6
Gigabyte GeForce RTX 3060 Ti GAMING OC PRO 8 GB GDDR6 Rev 3.0,8,GDDR6,684.3,https://www.pccomponentes.com/gigabyte-geforce-rtx-3060-ti-gaming-oc-pro-8-gb-gddr6-rev-30
EVGA GeForce RTX 2060 SC OVERCLOCKED 6GB GDDR6,6,GDDR6,480.74,https://www.pccomponentes.com/evga-geforce-rtx-2060-sc-overclocked-6gb-gddr6
Asus Phoenix GeForce RTX 3060 V2 12GB GDDR6,12,GDDR6,546.71,https://www.pccomponentes.com/asus-phoenix-geforce-rtx-3060-v2-12gb-gddr6
MSI GeForce RTX 3050 VENTUS 2X OC 8GB GDDR6,8,GDDR6,399.28,https://www.pccomponentes.com/msi-geforce-rtx-3050-ventus-2x-oc-8gb-gddr6
Gigabyte GeForce RTX 3050 EAGLE 8GB GDDR6,8,GDDR6,508.27,https://www.pccomponentes.com/gigabyte-geforce-rtx-3050-eagle-8gb-gddr6
EVGA GeForce RTX 3070 Ti FTW3 ULTRA GAMING 8GB GDDR6X,8,GDDR6X,899.89,https://www.pccomponentes.com/evga-geforce-rtx-3070-ti-ftw3-ultra-gaming-8gb-gddr6x
Gigabyte GeForce GTX 1650 OC 4GB GDDR5,4,GDDR5,254.14,https://www.pccomponentes.com/gigabyte-geforce-gtx-1650-oc-4gb-gddr5
Asus TUF Gaming GeForce GTX 1660 Ti EVO OC Edition 6GB GDDR6,6,GDDR6,403.9,https://www.pccomponentes.com/asus-tuf-gaming-geforce-gtx-1660-ti-evo-oc-edition-6gb-gddr6
MSI GeForce RTX 3070 Ti GAMING X TRIO 8GB GDDR6X,8,GDDR6X,984.17,https://www.pccomponentes.com/msi-geforce-rtx-3070-ti-gaming-x-trio-8gb-gddr6x
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING LHR 10GB GDDR6X,10,GDDR6X,1205.99,https://www.pccomponentes.com/evga-geforce-rtx-3080-ftw3-ultra-gaming-lhr-10gb-gddr6x
Zotac Gaming GeForce RTX 3080 Trinity LHR 10GB GDDR6X,10,GDDR6X,959.91,https://www.pccomponentes.com/zotac-gaming-geforce-rtx-3080-trinity-lhr-10gb-gddr6x
Gigabyte GeForce RTX 3070 Ti VISION OC 8GB GDDR6,8,GDDR6,859.9,https://www.pccomponentes.com/gigabyte-geforce-rtx-3070-ti-vision-oc-8gb-gddr6
Asus TUF Gaming GeForce GTX 1650 OC Edition 4 GB GDDR6,4,GDDR6,235.08,https://www.pccomponentes.com/asus-tuf-gaming-geforce-gtx-1650-oc-edition-4-gb-gddr6
Zotac Gaming Geforce RTX 3080 TRINITY OC LHR 10GB GDDR6X,10,GDDR6X,979.89,https://www.pccomponentes.com/zotac-gaming-geforce-rtx-3080-trinity-oc-lhr-10gb-gddr6x
Sapphire Pulse AMD Radeon RX 6700 XT 12GB GDDR6,12,GDDR6,699.9,https://www.pccomponentes.com/sapphire-pulse-amd-radeon-rx-6700-xt-12gb-gddr6
MSI RTX 3060 TI VENTUS 2X OC V1 LHR 8GB GDDR6,8,GDDR6,614.98,https://www.pccomponentes.com/msi-rtx-3060-ti-ventus-2x-oc-v1-lhr-8gb-gddr6
